ordernumber,quantityordered,priceeach,orderlinenumber,sales,orderdate,days_since_lastorder,status,productline,msrp,productcode,customername,phone,addressline1,city,postalcode,country,contactlastname,contactfirstname,dealsize
10309,41,107.18,5,4394.38,2019-10-15,245,shipped,motorcycles,95,s10_1678,baane mini imports,07-98 9555,erling skakkes gate 78,stavern,4110,norway,bergulfsen,jonas,medium
10318,46,94.74,1,4358.04,2019-11-02,228,shipped,motorcycles,95,s10_1678,diecast classics inc.,2155551555,7586 pompton st.,allentown,70267,usa,yu,kyung,medium
10329,42,104.67,1,4396.14,2019-11-15,216,shipped,motorcycles,95,s10_1678,land of toys inc.,2125557818,897 long airport avenue,nyc,10022,usa,yu,kwai,medium
10341,41,188.73,9,7737.93,2019-11-24,208,shipped,motorcycles,95,s10_1678,salzburg collectables,6562-9555,geislweg 14,salzburg,5020,austria,pipps,georg,large
10361,20,72.55,13,1451.0,2019-12-17,186,shipped,motorcycles,95,s10_1678,souveniers and things co.,+61 2 9495 8555,"monitor money building, 815 pacific hwy",chatswood,2067,australia,huxley,adrian,small
10375,21,34.91,12,733.11,2020-02-03,139,shipped,motorcycles,95,s10_1678,la rochelle gifts,40.67.8555,"67, rue des cinquante otages",nantes,44000,france,labrune,janine,small
10388,42,76.36,4,3207.12,2020-03-03,111,shipped,motorcycles,95,s10_1678,fungiftideas.com,5085552555,1785 first street,new bedford,50553,usa,benitez,violeta,medium
10403,24,101.44,7,2434.56,2020-04-08,76,shipped,motorcycles,95,s10_1678,"uk collectables, ltd.",(171) 555-2282,berkeley gardens 12  brewery,liverpool,wx1 6lt,uk,devon,elizabeth,small
10417,66,113.88,2,7516.08,2020-05-13,42,disputed,motorcycles,95,s10_1678,euro shopping channel,(91) 555 94 44,"c/ moralzarzal, 86",madrid,28034,spain,freyre,diego,large
10103,26,207.87,11,5404.62,2018-01-29,878,shipped,classic cars,214,s10_1949,baane mini imports,07-98 9555,erling skakkes gate 78,stavern,4110,norway,bergulfsen,jonas,medium
10112,29,248.59,1,7209.11,2018-03-24,825,shipped,classic cars,214,s10_1949,"volvo model replicas, co",0921-12 3555,berguvsvgen  8,lule,s-958 22,sweden,berglund,christina,large
10126,38,192.87,11,7329.06,2018-05-28,761,shipped,classic cars,214,s10_1949,"corrida auto replicas, ltd",(91) 555 22 82,"c/ araquil, 67",madrid,28023,spain,sommer,mart¡n,large
10140,37,199.3,11,7374.1,2018-07-24,705,shipped,classic cars,214,s10_1949,technics stores inc.,6505556809,9408 furth circle,burlingame,94217,usa,hirano,juri,large
10150,45,244.3,8,10993.5,2018-09-19,649,shipped,classic cars,214,s10_1949,"dragon souveniers, ltd.",+65 221 7555,"bronz sok., bronz apt. 3/6 tesvikiye",singapore,79903,singapore,natividad,eric,large
10163,21,231.44,1,4860.24,2018-10-20,619,shipped,classic cars,214,s10_1949,classic legends inc.,2125558493,5905 pompton st.,nyc,10022,usa,hernandez,maria,medium
10174,34,235.73,4,8014.82,2018-11-06,603,shipped,classic cars,214,s10_1949,"australian gift network, co",61-7-3844-6555,31 duncan st. west end,south brisbane,4101,australia,calaghan,tony,large
10183,23,233.59,8,5372.57,2018-11-13,597,shipped,classic cars,214,s10_1949,"classic gift ideas, inc",2155554695,782 first street,philadelphia,71270,usa,cervantes,francisca,medium
10194,42,173.58,11,7290.36,2018-11-25,586,shipped,classic cars,214,s10_1949,"saveley & henriot, co.",78.32.5555,"2, rue du commerce",lyon,69004,france,saveley,mary,large
10206,47,192.87,6,9064.89,2018-12-05,577,shipped,classic cars,214,s10_1949,canadian gift exchange network,(604) 555-3392,1900 oak st.,vancouver,v3f 2k1,canada,tannamuri,yoshi,large
10215,35,173.58,3,6075.3,2019-01-29,523,shipped,classic cars,214,s10_1949,west coast collectables co.,3105553722,3675 furth circle,burbank,94019,usa,thompson,steve,medium
10228,29,222.87,2,6463.23,2019-03-10,484,shipped,classic cars,214,s10_1949,cambridge collectables co.,6175555555,4658 baden av.,cambridge,51247,usa,tseng,kyung,medium
10245,34,180.01,9,6120.34,2019-05-04,430,shipped,classic cars,214,s10_1949,super scale inc.,2035559545,567 north pendale street,new haven,97823,usa,murphy,leslie,medium
10258,32,240.02,6,7680.64,2019-06-15,389,shipped,classic cars,214,s10_1949,"tokyo collectables, ltd",+81 3 3584 0555,2-2-8 roppongi,minato-ku,106-0032,japan,shimamura,akiko,large
10270,21,233.59,9,4905.39,2019-07-19,356,shipped,classic cars,214,s10_1949,souveniers and things co.,+61 2 9495 8555,"monitor money building, 815 pacific hwy",chatswood,2067,australia,huxley,adrian,medium
10280,34,235.73,2,8014.82,2019-08-17,328,shipped,classic cars,214,s10_1949,amica models & co.,011-4988555,via monte bianco 34,torino,10100,italy,accorti,paolo,large
10291,37,192.87,11,7136.19,2019-09-08,307,shipped,classic cars,214,s10_1949,scandinavian gift ideas,0695-34 6555,?kergatan 24,boras,s-844 67,sweden,larsson,maria,large
10304,47,216.44,6,10172.7,2019-10-11,275,shipped,classic cars,214,s10_1949,auto assoc. & cie.,30.59.8555,"67, avenue de l'europe",versailles,78000,france,tonini,daniel,large
10312,48,242.16,3,11623.7,2019-10-21,266,shipped,classic cars,214,s10_1949,mini gifts distributors ltd.,4155551450,5677 strong st.,san rafael,97562,usa,nelson,valarie,large
10322,40,150.01,1,6000.4,2019-11-04,253,shipped,classic cars,214,s10_1949,online diecast creations co.,6035558647,2304 long airport avenue,nashua,62005,usa,young,valarie,medium
10347,30,131.49,1,3944.7,2019-11-29,229,shipped,classic cars,214,s10_1949,"australian collectors, co.",03 9520 4555,636 st kilda road,melbourne,3004,australia,ferguson,peter,medium
10357,32,177.87,10,5691.84,2019-12-10,219,shipped,classic cars,214,s10_1949,mini gifts distributors ltd.,4155551450,5677 strong st.,san rafael,97562,usa,nelson,valarie,medium
10369,41,110.12,2,4514.92,2020-01-20,179,shipped,classic cars,214,s10_1949,collectables for less inc.,6175558555,7825 douglas av.,brickhaven,58339,usa,nelson,allen,medium
10391,24,100.69,4,2416.56,2020-03-09,131,shipped,classic cars,214,s10_1949,"anna's decorations, ltd",02 9936 8555,201 miller street,north sydney,2060,australia,o'hara,anna,small
10411,23,180.01,9,4140.23,2020-05-01,79,shipped,classic cars,214,s10_1949,quebec home shopping network,(514) 555-8054,43 rue st. laurent,montreal,h1j 1c3,canada,fresnisre,jean,medium
10424,50,240.02,6,12001.0,2020-05-31,50,in process,classic cars,214,s10_1949,euro shopping channel,(91) 555 94 44,"c/ moralzarzal, 86",madrid,28034,spain,freyre,diego,large
10107,39,99.91,5,3896.49,2018-02-24,878,shipped,motorcycles,118,s10_2016,land of toys inc.,2125557818,897 long airport avenue,nyc,10022,usa,yu,kwai,medium
10120,29,96.34,3,2793.86,2018-04-29,815,shipped,motorcycles,118,s10_2016,"australian collectors, co.",03 9520 4555,636 st kilda road,melbourne,3004,australia,ferguson,peter,small
10134,27,122.51,5,3307.77,2018-07-01,753,shipped,motorcycles,118,s10_2016,lyon souveniers,+33 1 46 62 7555,27 rue du colonel pierre avia,paris,75508,france,da cunha,daniel,medium
10145,37,140.35,9,5192.95,2018-08-25,699,shipped,motorcycles,118,s10_2016,toys4grownups.com,6265557265,78934 hillside dr.,pasadena,90003,usa,young,julie,medium
10168,27,135.59,4,3660.93,2018-10-28,636,shipped,motorcycles,118,s10_2016,technics stores inc.,6505556809,9408 furth circle,burlingame,94217,usa,hirano,juri,medium
10180,42,111.8,12,4695.6,2018-11-11,623,shipped,motorcycles,118,s10_2016,daedalus designs imports,20.16.1555,"184, chausse de tournai",lille,59000,france,rance,martine,medium
10188,38,96.34,4,3660.92,2018-11-18,617,shipped,motorcycles,118,s10_2016,herkku gifts,+47 2267 3215,"drammen 121, pr 744 sentrum",bergen,n 5804,norway,oeztan,veysel,medium
10210,23,130.83,2,3009.09,2019-01-12,563,shipped,motorcycles,118,s10_2016,osaka souveniers co.,+81 06 6342 5555,"dojima avanza 4f, 1-6-20 dojima, kita-ku",osaka,530-0003,japan,kentary,mory,medium
10223,47,115.37,4,5422.39,2019-02-20,525,shipped,motorcycles,118,s10_2016,"australian collectors, co.",03 9520 4555,636 st kilda road,melbourne,3004,australia,ferguson,peter,medium
10236,22,129.64,1,2852.08,2019-04-03,484,shipped,motorcycles,118,s10_2016,motor mint distributors inc.,2155559857,11328 douglas av.,philadelphia,71270,usa,hernandez,rosa,small
10251,44,130.83,5,5756.52,2019-05-18,440,shipped,motorcycles,118,s10_2016,tekni collectables inc.,2015559350,7476 moss rd.,newark,94019,usa,brown,william,medium
10263,40,111.8,5,4472.0,2019-06-28,400,shipped,motorcycles,118,s10_2016,gift depot inc.,2035552570,25593 south bay ln.,bridgewater,97562,usa,king,julie,medium
10275,22,132.02,4,2904.44,2019-07-23,376,shipped,motorcycles,118,s10_2016,la rochelle gifts,40.67.8555,"67, rue des cinquante otages",nantes,44000,france,labrune,janine,small
10285,47,137.97,9,6484.59,2019-08-27,342,shipped,motorcycles,118,s10_2016,marta's replicas co.,6175558555,39323 spinnaker dr.,cambridge,51247,usa,hernandez,marta,medium
10298,39,96.34,1,3757.26,2019-09-27,312,shipped,motorcycles,118,s10_2016,atelier graphique,40.32.2555,"54, rue royale",nantes,44000,france,schmitt,carine,medium
10308,34,118.94,2,4043.96,2019-10-15,295,shipped,motorcycles,118,s10_2016,mini classics,9145554562,3758 north pendale street,white plains,24067,usa,frick,steve,medium
10318,45,123.7,4,5566.5,2019-11-02,278,shipped,motorcycles,118,s10_2016,diecast classics inc.,2155551555,7586 pompton st.,allentown,70267,usa,yu,kyung,medium
10329,20,158.8,2,3176.0,2019-11-15,266,shipped,motorcycles,118,s10_2016,land of toys inc.,2125557818,897 long airport avenue,nyc,10022,usa,yu,kwai,medium
10339,40,68.92,4,2756.8,2019-11-23,259,shipped,motorcycles,118,s10_2016,"tokyo collectables, ltd",+81 3 3584 0555,2-2-8 roppongi,minato-ku,106-0032,japan,shimamura,akiko,small
10361,26,51.15,8,1329.9,2019-12-17,236,shipped,motorcycles,118,s10_2016,souveniers and things co.,+61 2 9495 8555,"monitor money building, 815 pacific hwy",chatswood,2067,australia,huxley,adrian,small
10374,39,135.59,5,5288.01,2020-02-02,190,shipped,motorcycles,118,s10_2016,"australian gift network, co",61-7-3844-6555,31 duncan st. west end,south brisbane,4101,australia,calaghan,tony,medium
10388,50,44.51,5,2225.5,2020-03-03,161,shipped,motorcycles,118,s10_2016,fungiftideas.com,5085552555,1785 first street,new bedford,50553,usa,benitez,violeta,small
10402,45,129.64,1,5833.8,2020-04-07,127,shipped,motorcycles,118,s10_2016,auto canal petit,(1) 47.55.6555,"25, rue lauriston",paris,75016,france,perrier,dominique,medium
10417,45,130.83,5,5887.35,2020-05-13,92,disputed,motorcycles,118,s10_2016,euro shopping channel,(91) 555 94 44,"c/ moralzarzal, 86",madrid,28034,spain,freyre,diego,medium
10107,27,224.65,4,6065.55,2018-02-24,902,shipped,motorcycles,193,s10_4698,land of toys inc.,2125557818,897 long airport avenue,nyc,10022,usa,yu,kwai,medium
10120,46,201.41,2,9264.86,2018-04-29,839,shipped,motorcycles,193,s10_4698,"australian collectors, co.",03 9520 4555,636 st kilda road,melbourne,3004,australia,ferguson,peter,large
10134,31,226.58,4,7023.98,2018-07-01,777,shipped,motorcycles,193,s10_4698,lyon souveniers,+33 1 46 62 7555,27 rue du colonel pierre avia,paris,75508,france,da cunha,daniel,large
10145,33,156.86,8,5176.38,2018-08-25,723,shipped,motorcycles,193,s10_4698,toys4grownups.com,6265557265,78934 hillside dr.,pasadena,90003,usa,young,julie,medium
10168,20,209.15,3,4183.0,2018-10-28,660,shipped,motorcycles,193,s10_4698,technics stores inc.,6505556809,9408 furth circle,burlingame,94217,usa,hirano,juri,medium
10180,41,216.9,11,8892.9,2018-11-11,647,shipped,motorcycles,193,s10_4698,daedalus designs imports,20.16.1555,"184, chausse de tournai",lille,59000,france,rance,martine,large
10188,45,193.66,3,8714.7,2018-11-18,641,shipped,motorcycles,193,s10_4698,herkku gifts,+47 2267 3215,"drammen 121, pr 744 sentrum",bergen,n 5804,norway,oeztan,veysel,large
10210,34,180.1,1,6123.4,2019-01-12,587,shipped,motorcycles,193,s10_4698,osaka souveniers co.,+81 06 6342 5555,"dojima avanza 4f, 1-6-20 dojima, kita-ku",osaka,530-0003,japan,kentary,mory,medium
10223,49,199.47,3,9774.03,2019-02-20,549,shipped,motorcycles,193,s10_4698,"australian collectors, co.",03 9520 4555,636 st kilda road,melbourne,3004,australia,ferguson,peter,large
10237,39,180.1,9,7023.9,2019-04-05,506,shipped,motorcycles,193,s10_4698,vitachrome inc.,2125551500,2678 kingston rd.,nyc,10022,usa,frick,michael,large
10251,43,164.61,4,7078.23,2019-05-18,464,shipped,motorcycles,193,s10_4698,tekni collectables inc.,2015559350,7476 moss rd.,newark,94019,usa,brown,william,large
10263,41,203.34,4,8336.94,2019-06-28,424,shipped,motorcycles,193,s10_4698,gift depot inc.,2035552570,25593 south bay ln.,bridgewater,97562,usa,king,julie,large
10275,36,191.72,3,6901.92,2019-07-23,400,shipped,motorcycles,193,s10_4698,la rochelle gifts,40.67.8555,"67, rue des cinquante otages",nantes,44000,france,labrune,janine,medium
10285,27,201.41,8,5438.07,2019-08-27,366,shipped,motorcycles,193,s10_4698,marta's replicas co.,6175558555,39323 spinnaker dr.,cambridge,51247,usa,hernandez,marta,medium
10299,29,230.46,11,6683.34,2019-09-30,333,shipped,motorcycles,193,s10_4698,"toys of finland, co.",90-224 8555,keskuskatu 45,helsinki,21240,finland,karttunen,matti,medium
10308,20,228.52,1,4570.4,2019-10-15,319,shipped,motorcycles,193,s10_4698,mini classics,9145554562,3758 north pendale street,white plains,24067,usa,frick,steve,medium
10318,37,207.22,3,7667.14,2019-11-02,302,shipped,motorcycles,193,s10_4698,diecast classics inc.,2155551555,7586 pompton st.,allentown,70267,usa,yu,kyung,large
10329,26,225.7,3,5868.2,2019-11-15,290,shipped,motorcycles,193,s10_4698,land of toys inc.,2125557818,897 long airport avenue,nyc,10022,usa,yu,kwai,medium
10339,39,76.67,3,2990.13,2019-11-23,283,shipped,motorcycles,193,s10_4698,"tokyo collectables, ltd",+81 3 3584 0555,2-2-8 roppongi,minato-ku,106-0032,japan,shimamura,akiko,small
10362,22,166.55,4,3664.1,2020-01-05,241,shipped,motorcycles,193,s10_4698,technics stores inc.,6505556809,9408 furth circle,burlingame,94217,usa,hirano,juri,medium
10374,22,174.29,1,3834.38,2020-02-02,214,shipped,motorcycles,193,s10_4698,"australian gift network, co",61-7-3844-6555,31 duncan st. west end,south brisbane,4101,australia,calaghan,tony,medium
10388,21,86.77,7,1822.17,2020-03-03,185,shipped,motorcycles,193,s10_4698,fungiftideas.com,5085552555,1785 first street,new bedford,50553,usa,benitez,violeta,small
10403,66,180.1,9,11886.6,2020-04-08,150,shipped,motorcycles,193,s10_4698,"uk collectables, ltd.",(171) 555-2282,berkeley gardens 12  brewery,liverpool,wx1 6lt,uk,devon,elizabeth,large
10417,56,164.61,4,9218.16,2020-05-13,116,disputed,motorcycles,193,s10_4698,euro shopping channel,(91) 555 94 44,"c/ moralzarzal, 86",madrid,28034,spain,freyre,diego,large
10105,50,144.16,2,7208.0,2018-02-11,939,shipped,classic cars,136,s10_4757,danish wholesale imports,31 12 3555,vinb'ltet 34,kobenhavn,1734,denmark,petersen,jytte,large
10119,46,108.8,11,5004.8,2018-04-28,864,shipped,classic cars,136,s10_4757,salzburg collectables,6562-9555,geislweg 14,salzburg,5020,austria,pipps,georg,medium
10129,33,133.28,2,4398.24,2018-06-12,820,shipped,classic cars,136,s10_4757,"stylish desk decors, co.",(171) 555-0297,35 king george,london,wx3 6fw,uk,brown,ann,medium
10143,49,114.24,15,5597.76,2018-08-10,762,shipped,classic cars,136,s10_4757,mini creations ltd.,5085559555,4575 hillside dr.,new bedford,50553,usa,tam,wing c,medium
10155,32,141.44,13,4526.08,2018-10-06,706,shipped,classic cars,136,s10_4757,"toys of finland, co.",90-224 8555,keskuskatu 45,helsinki,21240,finland,karttunen,matti,medium
10167,44,134.64,9,5924.16,2018-10-23,690,cancelled,classic cars,136,s10_4757,scandinavian gift ideas,0695-34 6555,?kergatan 24,boras,s-844 67,sweden,larsson,maria,medium
10178,24,145.52,12,3492.48,2018-11-08,675,shipped,classic cars,136,s10_4757,alpha cognac,61.77.6555,1 rue alsace-lorraine,toulouse,31000,france,roulet,annette,medium
10186,26,148.24,9,3854.24,2018-11-14,670,shipped,classic cars,136,s10_4757,"double decker gift stores, ltd",(171) 555-7555,120 hanover sq.,london,wa1 1dp,uk,hardy,thomas,medium
10197,45,118.32,6,5324.4,2018-11-26,659,shipped,classic cars,136,s10_4757,enaco distributors,(93) 203 4555,"rambla de catalu¤a, 23",barcelona,8022,spain,saavedra,eduardo,medium
10222,49,122.4,12,5997.6,2019-02-19,575,shipped,classic cars,136,s10_4757,collectable mini designs co.,7605558146,361 furth circle,san diego,91217,usa,thompson,valarie,medium
10248,20,145.52,3,2910.4,2019-05-07,499,cancelled,classic cars,136,s10_4757,land of toys inc.,2125557818,897 long airport avenue,nyc,10022,usa,yu,kwai,small
10261,27,125.12,1,3378.24,2019-06-17,459,shipped,classic cars,136,s10_4757,quebec home shopping network,(514) 555-8054,43 rue st. laurent,montreal,h1j 1c3,canada,fresnisre,jean,medium
10273,30,116.96,4,3508.8,2019-07-21,426,shipped,classic cars,136,s10_4757,petit auto,(02) 5554 67,rue joseph-bens 532,bruxelles,b-1180,belgium,dewey,catherine,medium
10283,25,119.68,6,2992.0,2019-08-20,397,shipped,classic cars,136,s10_4757,"royal canadian collectables, ltd.",(604) 555-4555,23 tsawassen blvd.,tsawassen,t2f 8m4,canada,lincoln,elizabeth,small
10295,24,142.8,1,3427.2,2019-09-10,377,shipped,classic cars,136,s10_4757,gifts4allages.com,6175559555,8616 spinnaker dr.,boston,51003,usa,yoshido,juri,medium
10307,22,122.4,9,2692.8,2019-10-14,344,shipped,classic cars,136,s10_4757,"classic gift ideas, inc",2155554695,782 first street,philadelphia,71270,usa,cervantes,francisca,small
10316,33,125.12,17,4128.96,2019-11-01,327,shipped,classic cars,136,s10_4757,giftsbymail.co.uk,(198) 555-8888,garden house crowther way,cowes,po31 7pj,uk,bennett,helen,medium
10325,47,64.93,6,3051.71,2019-11-05,324,shipped,classic cars,136,s10_4757,baane mini imports,07-98 9555,erling skakkes gate 78,stavern,4110,norway,bergulfsen,jonas,medium
10337,25,48.05,8,1201.25,2019-11-21,309,shipped,classic cars,136,s10_4757,classic legends inc.,2125558493,5905 pompton st.,nyc,10022,usa,hernandez,maria,small
10350,26,75.47,5,1962.22,2019-12-02,299,shipped,classic cars,136,s10_4757,euro shopping channel,(91) 555 94 44,"c/ moralzarzal, 86",madrid,28034,spain,freyre,diego,small
10359,48,54.68,6,2624.64,2019-12-15,287,shipped,classic cars,136,s10_4757,reims collectables,26.47.1555,59 rue de l'abbaye,reims,51100,france,henriot,paul,small
10373,39,103.75,3,4046.25,2020-01-31,241,shipped,classic cars,136,s10_4757,"oulu toy supplies, inc.",981-443655,torikatu 38,oulu,90110,finland,koskitalo,pirkko,medium
10395,32,105.33,2,3370.56,2020-03-17,196,shipped,classic cars,136,s10_4757,lyon souveniers,+33 1 46 62 7555,27 rue du colonel pierre avia,paris,75508,france,da cunha,daniel,medium
10400,64,150.96,9,9661.44,2020-04-01,182,shipped,classic cars,136,s10_4757,the sharp gifts warehouse,4085553659,3086 ingle ln.,san jose,94217,usa,frick,sue,large
10414,19,145.52,3,2764.88,2020-05-06,148,on hold,classic cars,136,s10_4757,gifts4allages.com,6175559555,8616 spinnaker dr.,boston,51003,usa,yoshido,juri,small
10103,42,128.53,4,5398.26,2018-01-29,977,shipped,classic cars,147,s10_4962,baane mini imports,07-98 9555,erling skakkes gate 78,stavern,4110,norway,bergulfsen,jonas,medium
10114,31,138.88,8,4305.28,2018-04-01,916,shipped,classic cars,147,s10_4962,"la corne d'abondance, co.",(1) 42.34.2555,"265, boulevard charonne",paris,75012,france,bertrand,marie,medium
10126,22,152.17,4,3347.74,2018-05-28,860,shipped,classic cars,147,s10_4962,"corrida auto replicas, ltd",(91) 555 22 82,"c/ araquil, 67",madrid,28023,spain,sommer,mart¡n,medium
10140,26,122.62,4,3188.12,2018-07-24,804,shipped,classic cars,147,s10_4962,technics stores inc.,6505556809,9408 furth circle,burlingame,94217,usa,hirano,juri,medium
10150,20,159.56,1,3191.2,2018-09-19,748,shipped,classic cars,147,s10_4962,"dragon souveniers, ltd.",+65 221 7555,"bronz sok., bronz apt. 3/6 tesvikiye",singapore,79903,singapore,natividad,eric,medium
10164,21,168.42,2,3536.82,2018-10-21,717,resolved,classic cars,147,s10_4962,mini auto werke,7675-3555,kirchgasse 6,graz,8010,austria,mendel,roland,medium
10175,33,162.51,9,5362.83,2018-11-06,702,shipped,classic cars,147,s10_4962,"stylish desk decors, co.",(171) 555-0297,35 king george,london,wx3 6fw,uk,brown,ann,medium
10183,28,122.62,1,3433.36,2018-11-13,696,shipped,classic cars,147,s10_4962,"classic gift ideas, inc",2155554695,782 first street,philadelphia,71270,usa,cervantes,francisca,medium
10194,26,163.99,4,4263.74,2018-11-25,685,shipped,classic cars,147,s10_4962,"saveley & henriot, co.",78.32.5555,"2, rue du commerce",lyon,69004,france,saveley,mary,medium
10207,31,131.49,15,4076.19,2018-12-09,672,shipped,classic cars,147,s10_4962,diecast collectables,6175552555,6251 ingle ln.,boston,51003,usa,franco,valarie,medium
10217,48,146.26,4,7020.48,2019-02-04,616,shipped,classic cars,147,s10_4962,handji gifts& co,+65 224 1555,village close - 106 linden road sandown,singapore,69045,singapore,victorino,wendy,large
10229,50,128.53,9,6426.5,2019-03-11,582,shipped,classic cars,147,s10_4962,mini gifts distributors ltd.,4155551450,5677 strong st.,san rafael,97562,usa,nelson,valarie,medium
10245,28,163.99,2,4591.72,2019-05-04,529,shipped,classic cars,147,s10_4962,super scale inc.,2035559545,567 north pendale street,new haven,97823,usa,murphy,leslie,medium
10259,26,155.13,12,4033.38,2019-06-15,488,shipped,classic cars,147,s10_4962,handji gifts& co,+65 224 1555,village close - 106 linden road sandown,singapore,69045,singapore,victorino,wendy,medium
10270,32,134.44,2,4302.08,2019-07-19,455,shipped,classic cars,147,s10_4962,souveniers and things co.,+61 2 9495 8555,"monitor money building, 815 pacific hwy",chatswood,2067,australia,huxley,adrian,medium
10281,44,159.56,9,7020.64,2019-08-19,425,shipped,classic cars,147,s10_4962,diecast classics inc.,2155551555,7586 pompton st.,allentown,70267,usa,yu,kyung,large
10291,30,128.53,4,3855.9,2019-09-08,406,shipped,classic cars,147,s10_4962,scandinavian gift ideas,0695-34 6555,?kergatan 24,boras,s-844 67,sweden,larsson,maria,medium
10305,38,175.81,13,6680.78,2019-10-13,372,shipped,classic cars,147,s10_4962,marta's replicas co.,6175558555,39323 spinnaker dr.,cambridge,51247,usa,hernandez,marta,medium
10313,40,166.95,7,6678.0,2019-10-22,364,shipped,classic cars,147,s10_4962,canadian gift exchange network,(604) 555-3392,1900 oak st.,vancouver,v3f 2k1,canada,tannamuri,yoshi,medium
10322,46,61.99,8,2851.54,2019-11-04,352,shipped,classic cars,147,s10_4962,online diecast creations co.,6035558647,2304 long airport avenue,nashua,62005,usa,young,valarie,small
10334,26,122.62,2,3188.12,2019-11-19,338,on hold,classic cars,147,s10_4962,"volvo model replicas, co",0921-12 3555,berguvsvgen  8,lule,s-958 22,sweden,berglund,christina,medium
10347,27,164.0,2,4428.0,2019-11-29,329,shipped,classic cars,147,s10_4962,"australian collectors, co.",03 9520 4555,636 st kilda road,melbourne,3004,australia,ferguson,peter,medium
10357,43,134.44,9,5780.92,2019-12-10,319,shipped,classic cars,147,s10_4962,mini gifts distributors ltd.,4155551450,5677 strong st.,san rafael,97562,usa,nelson,valarie,medium
10370,35,65.63,4,2297.05,2020-01-20,279,shipped,classic cars,147,s10_4962,"anna's decorations, ltd",02 9936 8555,201 miller street,north sydney,2060,australia,o'hara,anna,small
10391,37,46.9,7,1735.3,2020-03-09,231,shipped,classic cars,147,s10_4962,"anna's decorations, ltd",02 9936 8555,201 miller street,north sydney,2060,australia,o'hara,anna,small
10411,27,163.99,2,4427.73,2020-05-01,179,shipped,classic cars,147,s10_4962,quebec home shopping network,(514) 555-8054,43 rue st. laurent,montreal,h1j 1c3,canada,fresnisre,jean,medium
10425,38,155.13,12,5894.94,2020-05-31,150,in process,classic cars,147,s10_4962,la rochelle gifts,40.67.8555,"67, rue des cinquante otages",nantes,44000,france,labrune,janine,medium
10108,33,159.55,6,5265.15,2018-03-03,971,shipped,classic cars,194,s12_1099,cruz & sons co.,+63 2 555 3587,15 mccallum street - natwest center #13-03,makati city,1227 mm,philippines,cruz,arnold,medium
10122,42,180.95,10,7599.9,2018-05-08,906,shipped,classic cars,194,s12_1099,marseille mini autos,91.24.4555,"12, rue des bouchers",marseille,13008,france,lebihan,laurence,large
